suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-3,Fig. 3,user_count,User Count,users,40.0,DQN_scalar,436.2228205776215,3.00640007405284,-0.44000000000000006,0.03741657386773941,-436.2228205776215,3.0064000740528263,35.2,2.993325909419153,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,DQN_throughput,436.2228205776215,3.00640007405284,-0.4375,0.013693063937629165,-436.2228205776215,3.0064000740528263,35.0,1.0954451150103321,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,MODQN,436.2228205776215,3.00640007405284,-0.4375,0.013693063937629165,-436.2228205776215,3.0064000740528263,35.0,1.0954451150103321,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,RSS_max,436.2228205776215,3.00640007405284,-0.45249999999999996,0.02423839928708164,-436.2228205776215,3.0064000740528263,36.2,1.9390719429665315,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,60.0,DQN_scalar,291.36127274831136,0.9182912755744684,-0.4616666666666667,0.015456030825826174,-291.36127274831125,0.9182912755752938,55.4,1.8547236990991407,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,DQN_throughput,291.36127274831136,0.9182912755744684,-0.4216666666666667,0.015456030825826167,-291.36127274831125,0.9182912755752938,50.6,1.8547236990991407,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,MODQN,291.36127274831136,0.9182912755744684,-0.4216666666666667,0.015456030825826167,-291.36127274831125,0.9182912755752938,50.6,1.8547236990991407,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,RSS_max,291.36127274831136,0.9182912755744684,-0.4616666666666667,0.015456030825826174,-291.36127274831125,0.9182912755752938,55.4,1.8547236990991407,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,80.0,DQN_scalar,218.4442621564865,1.2216014376720805,-0.42750000000000005,0.012247448713915888,-218.44426215648824,1.22160143767258,68.4,1.9595917942265422,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,DQN_throughput,218.4442621564865,1.2216014376720805,-0.41624999999999995,0.014031215200402274,-218.44426215648824,1.22160143767258,66.6,2.2449944320643644,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,MODQN,218.4442621564865,1.2216014376720805,-0.41624999999999995,0.014031215200402274,-218.44426215648824,1.22160143767258,66.6,2.2449944320643644,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,RSS_max,218.4442621564865,1.2216014376720805,-0.45874999999999994,0.010155048005794953,-218.44426215648824,1.22160143767258,73.4,1.624807680927192,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,100.0,DQN_scalar,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,100.0,DQN_throughput,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
