suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,weight_label,w1,w2,w3,mean_scalar_reward,std_scalar_reward,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,2.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,2.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,2.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,2.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,3.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,3.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,3.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,3.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,4.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,4.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,4.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,4.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,5.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,5.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,5.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,5.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,6.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,6.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,6.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,6.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,7.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,7.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,7.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,7.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,8.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,8.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,8.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-4,Fig. 4,satellite_count,Satellite Count,satellites,8.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
